gene,uniprot,family,chembl_id,smiles,assay_type,value_nm,pchembl,source,pKd
AKT1,P31749,AKT,CHEMBL307152,Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O,IC50,5480.0,5.26,ChEMBL,5.26
AKT1,P31749,AKT,CHEMBL3216643,COc1ccc(O)c(C(=O)c2ccc(C(=O)O[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,IC50,5.0,8.3,ChEMBL,8.3
AKT1,P31749,AKT,CHEMBL1204095,COc1ccc(O)c(C(=O)c2ccc(/C=C/[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl,IC50,160.0,6.8,ChEMBL,6.8
AKT1,P31749,AKT,CHEMBL1202525,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,IC50,355.0,6.45,ChEMBL,6.45
AKT1,P31749,AKT,CHEMBL1202518,COc1ccc(O)c(C(=O)c2ccc(C(=O)N[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,IC50,4.0,8.4,ChEMBL,8.4
AKT1,P31749,AKT,CHEMBL1204097,COc1ccc(O)c(C(=O)c2ccc(NC[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl,IC50,25000.0,4.6,ChEMBL,4.6
AKT1,P31749,AKT,CHEMBL1202519,COc1ccc(O)c(C(=O)c2ccc(CN[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl,IC50,3000.0,5.52,ChEMBL,5.52
AKT1,P31749,AKT,CHEMBL260397,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,IC50,295.0,6.53,ChEMBL,6.53
AKT1,P31749,AKT,CHEMBL258844,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,IC50,58.0,7.24,ChEMBL,7.24
AKT1,P31749,AKT,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,IC50,760.0,6.12,ChEMBL,6.12
AKT1,P31749,AKT,CHEMBL359864,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CC1,IC50,365.0,6.44,ChEMBL,6.44
AKT1,P31749,AKT,CHEMBL178349,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3cc4ccccc4nc3-c3ccccc3)cc2)CC1,IC50,3136.0,5.5,ChEMBL,5.5
AKT1,P31749,AKT,CHEMBL255212,N#Cc1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,IC50,762.0,6.12,ChEMBL,6.12
AKT1,P31749,AKT,CHEMBL360333,N#Cc1cnc(-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)c(-c2ccccc2)c1,IC50,1288.0,5.89,ChEMBL,5.89
AKT1,P31749,AKT,CHEMBL368010,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5cc(F)ccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,IC50,865.0,6.06,ChEMBL,6.06
AKT1,P31749,AKT,CHEMBL181927,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(C#N)cc5-c5ccccc5)cc4)CC3)nc2c1,IC50,2874.0,5.54,ChEMBL,5.54
AKT1,P31749,AKT,CHEMBL369094,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,IC50,1471.0,5.83,ChEMBL,5.83
AKT1,P31749,AKT,CHEMBL361391,N#Cc1cnc(-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)c(-c2ccccc2)c1,IC50,4397.0,5.36,ChEMBL,5.36
AKT1,P31749,AKT,CHEMBL425338,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(C#N)cc3-c3ccccc3)cc2)CC1,IC50,7407.0,5.13,ChEMBL,5.13
AKT1,P31749,AKT,CHEMBL270847,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nnn[nH]4)cc3-c3ccccc3)cc2)CC1,IC50,273.0,6.56,ChEMBL,6.56
AKT1,P31749,AKT,CHEMBL425155,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)cc1,IC50,177.0,6.75,ChEMBL,6.75
AKT1,P31749,AKT,CHEMBL181730,Fc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1,IC50,239.0,6.62,ChEMBL,6.62
AKT1,P31749,AKT,CHEMBL367601,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1,IC50,763.0,6.12,ChEMBL,6.12
AKT1,P31749,AKT,CHEMBL178872,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)cc1,IC50,3323.0,5.48,ChEMBL,5.48
AKT1,P31749,AKT,CHEMBL178445,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CN3CCC(n4cnc5ccccc54)CC3)cc2)cc1,IC50,4237.0,5.37,ChEMBL,5.37
AKT1,P31749,AKT,CHEMBL369532,Cc1nc2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nn[nH]n4)cc3-c3ccccc3)cc2)CC1,IC50,6915.0,5.16,ChEMBL,5.16
AKT1,P31749,AKT,CHEMBL182101,Cn1nnnc1-c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,IC50,1772.0,5.75,ChEMBL,5.75
AKT1,P31749,AKT,CHEMBL362455,CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,IC50,3400.0,5.47,ChEMBL,5.47
AKT1,P31749,AKT,CHEMBL260397,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,IC50,290.0,6.54,ChEMBL,6.54
AKT1,P31749,AKT,CHEMBL440560,O=c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]1,IC50,3029.0,5.52,ChEMBL,5.52
AKT1,P31749,AKT,CHEMBL577792,O=c1cnc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1,IC50,1500.0,5.82,ChEMBL,5.82
AKT1,P31749,AKT,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,IC50,760.0,6.12,ChEMBL,6.12
